"route","file path","line","UI element hovered","trigger","visible text","tooltip text","relationship","source of the tooltip text","resource type","also the accessible name?","scope","value kind","retrieved"
"/advanced-search","src/components/advanced-search/components/EditableQueryText/index.tsx","221","IconButton (edit query)","hover + focus (Chakra Tooltip)","(none - pen / edit icon)","Click to edit","tooltip is the only text","hardcoded in JSX","","NO - aria-label differs: ""Edit""","route-specific","literal",""
"/advanced-search","src/components/advanced-search/components/EditableQueryText/index.tsx","264","Textarea (query text)","hover + focus (Chakra Tooltip)","the query text the user has typed (EditablePreview)","Click to edit","adds detail","hardcoded in JSX","","NO - aria-label differs: ""Edit query input""","route-specific","literal",""
"/404","src/components/search-bar/index.tsx","91","IconButton (search history)","hover + focus (Chakra Tooltip)","(none - clock / history icon)","View search history.","tooltip is the only text","hardcoded in JSX","","yes - identical aria-label on the same element","shared","literal",""
"/about","src/components/search-bar/index.tsx","91","IconButton (search history)","hover + focus (Chakra Tooltip)","(none - clock / history icon)","View search history.","tooltip is the only text","hardcoded in JSX","","yes - identical aria-label on the same element","shared","literal",""
"/knowledge-center","src/components/search-bar/index.tsx","91","IconButton (search history)","hover + focus (Chakra Tooltip)","(none - clock / history icon)","View search history.","tooltip is the only text","hardcoded in JSX","","yes - identical aria-label on the same element","shared","literal",""
"/knowledge-center/[...slug]","src/components/search-bar/index.tsx","91","IconButton (search history)","hover + focus (Chakra Tooltip)","(none - clock / history icon)","View search history.","tooltip is the only text","hardcoded in JSX","","yes - identical aria-label on the same element","shared","literal",""
"/resources","src/components/search-bar/index.tsx","91","IconButton (search history)","hover + focus (Chakra Tooltip)","(none - clock / history icon)","View search history.","tooltip is the only text","hardcoded in JSX","","yes - identical aria-label on the same element","shared","literal",""
"/search","src/components/search-bar/index.tsx","91","IconButton (search history)","hover + focus (Chakra Tooltip)","(none - clock / history icon)","View search history.","tooltip is the only text","hardcoded in JSX","","yes - identical aria-label on the same element","shared","literal",""
"/404","src/components/search-bar/index.tsx","276","IconButton (search history, mobile)","hover + focus (Chakra Tooltip)","(none - clock / history icon)","View search history.","tooltip is the only text","hardcoded in JSX","","yes - identical aria-label on the same element","shared","literal",""
"/about","src/components/search-bar/index.tsx","276","IconButton (search history, mobile)","hover + focus (Chakra Tooltip)","(none - clock / history icon)","View search history.","tooltip is the only text","hardcoded in JSX","","yes - identical aria-label on the same element","shared","literal",""
"/knowledge-center","src/components/search-bar/index.tsx","276","IconButton (search history, mobile)","hover + focus (Chakra Tooltip)","(none - clock / history icon)","View search history.","tooltip is the only text","hardcoded in JSX","","yes - identical aria-label on the same element","shared","literal",""
"/knowledge-center/[...slug]","src/components/search-bar/index.tsx","276","IconButton (search history, mobile)","hover + focus (Chakra Tooltip)","(none - clock / history icon)","View search history.","tooltip is the only text","hardcoded in JSX","","yes - identical aria-label on the same element","shared","literal",""
"/resources","src/components/search-bar/index.tsx","276","IconButton (search history, mobile)","hover + focus (Chakra Tooltip)","(none - clock / history icon)","View search history.","tooltip is the only text","hardcoded in JSX","","yes - identical aria-label on the same element","shared","literal",""
"/search","src/components/search-bar/index.tsx","276","IconButton (search history, mobile)","hover + focus (Chakra Tooltip)","(none - clock / history icon)","View search history.","tooltip is the only text","hardcoded in JSX","","yes - identical aria-label on the same element","shared","literal",""
"/knowledge-center","src/views/docs/components/search-bar/SearchBar.tsx","288","IconButton (search history)","hover + focus (Chakra Tooltip)","(none - clock / history icon)","View search history.","tooltip is the only text","hardcoded in JSX","","yes - identical aria-label on the same element","route-specific","literal",""
"/knowledge-center/[...slug]","src/views/docs/components/search-bar/SearchBar.tsx","288","IconButton (search history)","hover + focus (Chakra Tooltip)","(none - clock / history icon)","View search history.","tooltip is the only text","hardcoded in JSX","","yes - identical aria-label on the same element","route-specific","literal",""
"/sources","src/components/metadata-compatibility-source-badge/index.tsx","16","metadata compatibility badge","hover + focus (Chakra Tooltip)","Metadata Compatibility","The metadata compatibility badge is a quantitative measure that represents how well a repository aligns with the metadata standards of the NIAID Data Ecosystem.","adds detail","hardcoded in JSX","","no - element has no aria-label","route-specific","literal",""
"/sources","src/components/metadata-compatibility-source-badge/components/badge.tsx","260","badge segment (recommended)","hover + focus (Chakra Tooltip)","Recommended | <n>% (SVG text on the badge)","Recommended fields coverage.","adds detail","hardcoded in JSX","","no - element has no aria-label","route-specific","literal",""
"/sources","src/components/metadata-compatibility-source-badge/components/badge.tsx","286","badge segment (fundamental)","hover + focus (Chakra Tooltip)","Fundamental | <n>% (SVG text on the badge)","Fundamental fields coverage.","adds detail","hardcoded in JSX","","no - element has no aria-label","route-specific","literal",""
"/resources","src/components/metadata-completeness-badge/Circular.tsx","290","Link (documentation)","hover + focus (Chakra Tooltip)","Metadata Compatibility","See metadata compatibility documentation.","adds detail","hardcoded in JSX","","no - element has no aria-label","shared","literal",""
"/search","src/components/metadata-completeness-badge/Circular.tsx","290","Link (documentation)","hover + focus (Chakra Tooltip)","Metadata Compatibility","See metadata compatibility documentation.","adds detail","hardcoded in JSX","","no - element has no aria-label","shared","literal",""
"/resources","src/components/resource-sections/components/authors/index.tsx","161","Link (author's website)","hover + focus (Chakra Tooltip)","(none - external window icon)","Website","tooltip is the only text","hardcoded in JSX","","NO - aria-label differs: ""Personal website.""","route-specific","literal",""
"/resources","src/components/resource-sections/components/based-on/index.tsx","285","ontology link","hover + focus (Chakra Tooltip)","the ontology term name (TagWithUrl)","Show ontology information.","adds detail","hardcoded in JSX (empty string when the item has no url)","","no - element has no aria-label","route-specific","literal",""
